CLASS-NAME,  STUDENTS ID, LAST NAME, FIRST NAME,   ANSWERS, LETTER GRADE,   NUMBER OF CORRECT ANSWERS,   NUMBER OF FALSE ANSWERS, NUMBER OF BLANKS, TOTAL POINTS 
cs-250 , 12226 , TJEJESJP     , UTUZVAEJTA   , AACABBACABBBBBBBCBCBBCCBBBBCBBBCCBBCBACBBAABCACCACACCCBACCBCCBBBBCABBAACCACACABABCB CAABBAACBABACACA, C , 34, 65, 1 , 71.50
cs-250 , 13076 , CMEGGQO      , VVJCENU      , ABCCAAABABBBCABACABCBABCABABBABCBACAABCBBBCCBCCCBBAACAAAABCBBAABCBBBACBABCABCBACAAABBACAAAABBABCCCBB, C , 36, 64, 0 , 74.00
cs-250 , 10362 , JLNXN        , IRHQVTZC     , CACCBBCBBBBCCABBBACAA CABBCACCBCCACAABACBABABBBBAAACBCBBACBACAAABAAACBABCBAACABBAACBCCBCBACBBCAAACAA, C , 36, 63, 1 , 74.50
cs-250 , 18566 , ITOPSSFE     , ZNHWTZI      , BBCABCABCAACBABCACAAACACAAACACCAAACACCAABBBCABBCBCAAABCCBCABCBAABBACCBBCCBAACBCACAACCBBBBCBBBAACCCCA, D , 24, 76, 0 , 56.00
cs-250 , 18862 , RYIVM        , YCLGVINZCJ   , BACCACBCAABABBBACACABCACABCAABCCCCABACBCBABBCBCBCBCBCBBCBCABABCCAAABAAAABBCAA BABCAABA AABBABA BABBC, A , 43, 54, 3 , 86.00
cs-250 , 17586 , YNWQZ        , IXOBG        , BBCABBCAABAAAAAACABBBCCABBCCBBBCBBABACCCBBBABCBABAABAABCBAABACAAACCCCABBABCBBCBCBABCBACCBAACABAAAACA, C , 31, 69, 0 , 66.50
cs-250 , 11313 , UQUIGOSB     , JISQOT       , CCCABACBBBACCCBAACCAABBBBCAACABCCCCCBBCCBCABC CBBBCABCACBAAAACABABBCACAAACABCBBBCBBAAABBCCAAABCCBCBB, C , 34, 65, 1 , 71.50
cs-250 , 15699 , VWCGGX       , YKDQXI       , ACCCABCCCABACCBCBABCCAAABBCBBBABCBBBAAAABCABCAAACBABACAABACCBCAACAAACABAABBCBACAAACAACABBABACBCAABBB, A , 49, 51, 0 , 93.50
cs-250 , 15983 , ZKHRB        , WUZQAZG      , CBCAABBCAACCBCACCAABBACCBBBBBACCACCBBABCBAAAAA AABCACBBAACCAACACBABABBAAACCABABCABCCACBBACACBCACCCAC, C , 32, 67, 1 , 68.50
cs-250 , 13080 , YSLXPYL      , LIYSVN       , ABAAAACCABBACCBACBCAACCAABCABCBAABCCCAAAACCBBBA CBBCAABBBBBBBBAACCACABAACCABBCCAABCBAABBCBCBABBABBBC, B , 39, 60, 1 , 79.00
cs-250 , 19057 , WZLLDI       , KRWRRB       , BABCACAAAA AABBBCCBCAACBBBBCACCBABBBACBABBCBAAAABCACABAABBACBCBACBABACCAABBACBCBCCACACACBCCACBCCABCB, B , 39, 60, 1 , 79.00
cs-250 , 11718 , VEZBNHOZK    , JHWDSQ       , CABABBCBABCCBABAAACBCBBBABABACBACBCCABCCBCBABACBCAACCCCCACAAAABABBCAABABBCBABCABAAA ACCCACABCCAAABC , B , 37, 61, 2 , 76.50
cs-250 , 13289 , BKIMLFWQB    , YCMYJODPM    , CABABAAACACBCABBACBACCCBBBCACCBACAABABCAAABBBBAAABBACCAAABBBAABCCAAAACACCBBBBBAABACAAAABBCACCCBBBBAA, C , 36, 64, 0 , 74.00
cs-250 , 11245 , XIEDAIT      , LLCBHXP      , AACCACBCBBACBAAACBABCCCCBABABBCCCBCBBABBCABBBAAAAAAABAAACBBBBCABBCBACAAABAABBABBCABCABCCACCAAACBCBBB, B , 37, 63, 0 , 75.50
cs-250 , 13019 , PCODM        , ZAEDTKJJNO   , BCBABAABCAACAAABCACABACBAAAABCAACACCACCBCCAACCBBBBACABACBCABCCBBCAAAAACAABCBBABABABCCAACAACCABABAAAC, C , 34, 66, 0 , 71.00
cs-250 , 14060 , OQKIRKIJ     , TAYWUTQQB    , ACABACCBCBACABACCBAACABAACAACBACACBBCAACBCAABCBBBBCBCACCACBCCBBACAACABCA CBCCACBACCBBCBCCACCACBBBACA, C , 30, 69, 1 , 65.50
cs-250 , 12183 , LODZGXATK    , ETDLB        , ABBAABACABCAAABBCCABCCBCBCCBCBAABCBCACCCABCBABAACABBABBBCACCBBAAABBBAAAC ABCCBABCABBBCCCCAAACBABBAAC, C , 35, 64, 1 , 73.00
cs-250 , 19277 , RTHVVJF      , DCZTFMJVE    , BBCAACBCAAAAAAACBACBAAACBBAABAACBBCACAACACACACBCBABCBAACCCCCACBCBCCBCCAAACCACBCAACCBCAAAAABAABACCACC, C , 33, 67, 0 , 69.50
cs-250 , 11451 , ZPBZBIMHK    , OGYTKO       , BBBAACCCCABBABBBAAABAACAAABACABCCBCBABCACBAB BBCABACCCACCBCBB BAACAABBBACACBACBCABAAAACACBBCACBABABA, C , 35, 63, 2 , 73.50
cs-250 , 10195 , KLXHRADR     , IVVEB        , BBACABAACBBBACAACABBBBCABAABBACBACBCACCACACABCCCAB ABACBCCACBABAAABBAACCACAAAAC CBAACABABABCACBBACCA, C , 34, 64, 2 , 72.00
cs-250 , 11043 , RZMRSQ       , AUOYYC       , ABBBACAACACCBABBCBCCBABBAABAABABACACCCCAACCBABCCCACACABBABCCCABAAABABBBCBCCBBCBCCCCCAAAABBCCACAACCBC, C , 32, 68, 0 , 68.00
cs-250 , 10718 , CRJSVV       , LUETSES      , CBCBABCCABAABCBCCBCCABCCACBACAACCCCAAAAAACAABBBCCABBBABCCCBABABAACAAACCBBAABAACCBACCBCCCBCCAACBCABAB, C , 34, 66, 0 , 71.00
cs-250 , 10426 , WCYNLR       , RXRIQXT      , BBABBABBBAAAACBABBCBBAAABABBCBB BAACAACBCBCABAABAAACAAAACBABABACBAABAAABABACBCCBCBCAABBABABCCCCCCACB, B , 37, 62, 1 , 76.00
cs-250 , 16203 , LWRLCYTO     , YIBWQTV      , BCAABABACAACCCABBACABAAABABACBBABBAA CACCBCBBCAACBCAAACABCCCCBAACCBABAACCBBBBACABBBACABBAABCABCBAACC, C , 35, 64, 1 , 73.00
cs-250 , 15092 , AZNIDOT      , AJXIZQZQEW   , CCAAAACABAAACBACCBCABBBBBCBACACAABCCBAACCAC ACBABABCBABBBBBBBCBABCBCCACCAACABABABCACCACACABBACABCBAC, A , 44, 55, 1 , 86.50
cs-250 , 13992 , GTFURHG      , CGORRO       , ACBABBAAABACB BBCACBCACCABCABABCCCCBBCCAABBABAACCCCBCACBACBBCACABBABCCACBCCBAACACBACBCAABABBBAAAAABC, C , 30, 69, 1 , 65.50
cs-250 , 16005 , IZNDTYMHI    , OKFIDLX      , BCBAABBBBBABABACAACBCBCBAACAAAABACAABBCAABCAACAACCCCAABBACACBAAAACBCABBBACABBAAAABBCCBBCBACBAAAAABBC, C , 35, 65, 0 , 72.50
cs-250 , 14611 , OWSFBJOX     , OTRVSFW      , CACCBAACABCCABABACBABCABABABAAACCAABABBCCCACCBAABBACCBBCBCBCBABACCBACBBCAAABACACCC AAACABABCBCBBCAAB, C , 34, 65, 1 , 71.50
cs-250 , 12279 , KVDMFISK     , LKBDZT       , BAC A BCABCACAABBACABABBBB ACABACAABAAACBCAABBAACBBBBABAACBBCBCACCBCBACBCBAA CBCCCBBCAABCBCBBBCBCBAB, B , 37, 59, 4 , 77.50
cs-250 , 12484 , WNNTYZUHFQ   , EUBAKQK      , CACCBBACBBBCABBBCBACCCCCABAACCAACCAAAABCCAABCAAABBCBABBCCCBAACACABBBBBAAACBCBCCBCBBCABAABBABACBACBBA, C , 35, 65, 0 , 72.50
cs-250 , 13166 , YGJIAKULTE   , YNCDOGXOH    , CCABBACBCBCCCCAABBACBCACBACACAABABAACABABCABBBABCBAAABBACBABAAACABCACACABCBAAABCACBBCBCCBBAACACABAAA, C , 34, 66, 0 , 71.00
cs-250 , 17441 , TARTFBD      , DUFZRTL      , ACAABCBACBBACCBBCCABBCABBBBBCBAAABACBCBBCBBCBBCABCAABBBABBABBACBC BCACABCBBBACBCAAABACACBBBABAAACBAA, B , 38, 61, 1 , 77.50
cs-250 , 12930 , DVSTZURA     , POBOERQQ     , ACCABACCBBACABACCBCCAAABBACCACAABCCCAAACABAAAABBCBBACCABBBCAABCBCBCCABBACBCACAAACAACACBACBCCBCCCABBB, C , 36, 64, 0 , 74.00
cs-250 , 19459 , GZKSF        , XXPIY        , BBBBABACAABACCABBACC BBCACBCAAABBACBCBCBCCBBCAACBAACBAABCABACABABAAAACBACACCBCAABCBABABBBCBAAABABBBC, B , 38, 61, 1 , 77.50
cs-250 , 15778 , QQLBH        , AYBBQUWZ     , BCACBCCBABCBCBBA BAAAABAAABABABACACABABBBCABABBCCAABCAABCAACACCACBABBACCACCACAABBCBCCCBBBBBBBCBCCAAB, C , 36, 63, 1 , 74.50
cs-250 , 18657 , LAWNFHJ      , OWPAFLQL     , BCCBAABCBABCBCBCCAABCCAAACACAAACAABB CABCBBBCBAABCBBCBCCABBBCABBCCAABABBCBAABABBA ABBCAA CACBACABAAB, B , 42, 55, 3 , 84.50
cs-250 , 18405 , VDEVFF       , ONKZWVTJCB   , AAA BBBCAABBAABCACACCAA BBBCCCABBACBCAABBCCCAAACBCABABCBBBBAACAAACBCBA CCCCCBBBBBBACCCCACBCCACBACCAB, B , 38, 59, 3 , 78.50
cs-250 , 19795 , VEXNJBAZ     , FDCXKE       , CCABBBCABBCACABCBCA ACCBBBBCBBBACBAAAAABAAACBACCAACBBBCABAACACBBBCAAAAACACABBBBAABCBBABACBAACACACCAB, B , 37, 62, 1 , 76.00
cs-250 , 17018 , RRRDPTJ      , VWBOHSL      , BCCAA CABABCAC CAACCCBABBBBBBAABACCBABBACBBBCBCBABBAAABBAABCCCBCBCACACCCABCBCBAAACABCCCBACAACBABCCCB, D , 29, 69, 2 , 64.50
cs-250 , 15346 , VUKSLFV      , ZJKTYQGG     , BBCBABABBBAACBAAACCAABAAABACBCAABCBCACAABBCAACCCACBCCCCCCACBCAACCBCCBCCBAACABBCCABCBCBABB A ACBACAAA, C , 33, 65, 2 , 70.50
cs-250 , 14850 , MPGZSS       , TNYQWDAOWH   , BBABBCCCAAABBBAABBAABCBCBCCAAAACABBBCABACABBACACCCACAAAACBBCBAB ACACCBAAACCBCACCCCBBABBCACACBAAAACAB, C , 31, 68, 1 , 67.00
cs-250 , 16446 , BPPXAQC      , ARCMWWSKB    , CBBBBAAACBBCCAAABBBCCAAAACCABCCBAACBABAAACABBAABCCABCBBBAAAACBCBACAACABCCCBCACCBACCBABACBAACAAACBCBB, C , 30, 70, 0 , 65.00
cs-250 , 11477 , KZAKJE       , XKIWLQC      , CBAAACACAACCCCAABCABAAACACA BAABCABBCAACAAABAABCBBBBBCCCACBAABBBAABBAACCCABCBAAAAAABBBCCCBCCACAACACA, B , 41, 58, 1 , 82.00
cs-250 , 14396 , XXLNDOTXQLKM , FQSHAK       , CBBCAACBCBACBCBCCAAA BCABABCABBBAAAACAACBACCBACBCAAABAAA BACCBCABCABCCBCABAACBCAAAABCCBAABCBBABCBBAB, C , 32, 66, 2 , 69.00
cs-250 , 13422 , SZTGGXB      , GOAOSQS      , ABAABCBBCBACBCBBCAAACCBBAACCBBA CAABAC CCBBBAABBBABBCCABCCBBABBAACBBBAABBCACCABCCCAAACAABABAABABCABB, B , 39, 59, 2 , 79.50
cs-250 , 11315 , PNPWIN       , GYWPTEY      , CAABABAACBCBCABBCBBCACCCBCBBCABBCAAABBABCABBABCACCBCBCAACCBAAAABCCCACBBCCCBAAABCBBCBABCCACCCABCCCAAA, C , 30, 70, 0 , 65.00
cs-250 , 12630 , UEJONGPORIG  , DYIJGSDXO    , BAAAAAC C CAABACAABBACABACACBBACCBCACBCCACABBCCBACAABCCBBBBBBCBCAAAABAABAABCBCABCCAACA BABCBAAACCAAC, B , 37, 60, 3 , 77.00
cs-250 , 14215 , EQAPVSFX     , NEVBYYP      , BBABAABBBABCCBBCBCCBCCBAAAABCAACBABCCCABABACACCABBACCAACABACACABCCACCCCBCCCBACBCBCBCCCABCCCBBCBBBCCA, B , 40, 60, 0 , 80.00
cs-250 , 10312 , ZCLVJNRY     , UKAXMPMY     , BBCBABCBABCAACACCCABCBAAACABCCBCAAAACACACBBACCABBCCBBCCCCBCABACCCBBAACCABCCBABAABBBCBB AAAAACCBCCBBC, D , 29, 70, 1 , 64.00
cs-250 , 12281 , IHYWWCRVOWC  , YRRKICW      , BCBCABAACBABBBAAACBCBCBABCBABACCAACBCBAAABAAACBCCACABCBCBCAACBAABAACCBCBCCCAACCAACBCAACCBBBACACBBAAB, C , 31, 69, 0 , 66.50
cs-250 , 14154 , KMKSJP       , ZEIVJR       , BBBBAABBBABCBBBBCBBAACCABAACCBCCCCBAC ABBACCCBBBCCCCCCBAACAABCBBBAABBCCBBCCAAACBCAACCAACAABBBCACBBBB, C , 34, 65, 1 , 71.50
cs-250 , 18665 , HWTHC        , UCYFLWNSFJ   , CCAABBBCCBBBBCAABBBAACCCBCABBABBABACCABCB CCBAAABACABCCAACBCAABACBCCABCBCACCBABCACCCAACCABACBCCBABAB, B , 39, 60, 1 , 79.00
cs-250 , 11337 , ZGVKLATAZ    , NYMLFLXLQ    , AACBACBCCB BCCACAABBABACACAABAAABAABBAAAACABAABABACAAACCACBABBBACABACBABAAAABCCAAAACAABBAACBBBBCBCAC, C , 36, 63, 1 , 74.50
cs-250 , 15153 , FAQGMENNP    , ADSUOIKR     , AABBBBACCBABBCABBBCCAABAABCCBCABBACACCACCCBACABB BBBCACBAACAABABCCBAAAABBCBBABCCCAAABCCAABACBABACABC, C , 31, 68, 1 , 67.00
cs-250 , 13869 , LTLSFK       , IFSTSKOJVZK  , ABCABACBCABABBBBBABBBCCBABCACCBABBCACBACBACACCBCCB CCBABBAAACBBCABBBBCABACAB CAABCCAACCABC CC CBCCAC, D , 28, 68, 4 , 64.00
cs-250 , 11710 , UGWSDYGX     , UMWGP        , BAACBAABCAABCBBBBACACAAAACBCCCABCBBBCBBBCBABABBBABACB BBAAABBBBABAABBBBCBABCBACABBCBCACBCACCBBBBC AB, B , 42, 56, 2 , 84.00
cs-250 , 15325 , DNRFKI       , ZXVSYQ       , ABCAABAAAACCBAABBBAAACCBACBBACAAAAACBCBABABBBCBBAAAABACABBBCBBBBCBAABCCACAAACBBAAACBBBBACAC CACABBCA, D , 29, 70, 1 , 64.00
cs-250 , 17052 , XJWPEWCDM    , GNFOXI       , BCBCABBACBCBCCBCCCCACBCAABACBBBBBABBBBCAAAACCCCBBBBAAAABABCBC BACBBCABCACABABABCABACAAACCAACCCA CABB, D , 29, 69, 2 , 64.50
cs-250 , 17517 , PORKBULCP    , ZIHJYDDG     , BCCABACAAACBCCBBABCCABBAACBCBCBBCCCBAABABBCAAABBCCCABACBCBBCCCCBBCABCBABAABCAAABCA CBCBAABBCABCAABBA, C , 34, 65, 1 , 71.50
cs-250 , 19949 , VKTMCHS      , BJNFSMS      , CCBAAAABBBBCBCABBABBABCCABACACBAACBCAABABCAAAAABAABBCCCACA CCACCAABCCCACCCBBBBCBCCBCBBBCBBAABABABBCA, D , 28, 71, 1 , 62.50
cs-250 , 11233 , SNTRFAG      , UVJWKZJU     , CBCABBABABCCBBABBCCBBCACABAACBBA ACBACCBABCAAACCABCBCBABBBACBBABCACA BAACAAAAABACCACCCCBBAACCACABAAB, C , 33, 65, 2 , 70.50
cs-250 , 11229 , BZCJFNJUU    , PUWOPSBE     , CAACBCBBAACCCBA BABCACCABCBAACACBBAACACABBAAACAACA ACABAABBABAACCBCBACABCCCCCCCCBAAAABBACBCABCABACAB, B , 38, 60, 2 , 78.00
cs-250 , 18575 , GAILS        , ZQSRQS       , ABBBAABACBCAABBCAABCABBBACBCBCAABAACCAAACACCBAACBBBCCBBABAAACCACABBBCBBBAAAACCCCABBBBBBCCCABCCBACCAA, C , 35, 65, 0 , 72.50
cs-250 , 14280 , FAVXIVOFN    , DDUDBFOD     , AACAACBBABCBACBBCACBCCBABCABBBBCCBABCBACBCCBBAACCCBBBCBABCBCCCCBCBCAACBAAACCBACA CCABBBCCABBACCABCCB, C , 36, 63, 1 , 74.50
cs-250 , 18317 , HEZLNB       , ZGXUSS       , BACBBBCCBBCCCAABAACBABBAACABCBAABBACBCACCBACBCABCCBBCBCCBABBBABCAACBCABCCBACBCBBAABBBCCCAABABAACCCBC, C , 35, 65, 0 , 72.50
cs-250 , 14287 , FOLREZQG     , NUTFUXTZ     , BBABBBAABBABCBBBBABCAACAAACBAABBBCBABBBBBABBABBABBBCBACBAACABBAAACBAAABCBACBCBBCCAC ACCACAACBABBCBCC, D , 26, 73, 1 , 59.50
cs-250 , 10513 , PWLDROB      , IBLYQY       , AAACBBCBABABAABAACBCACBBBACACB AAACC BCBBABBCAABACBBCA ACCABBABABACBABACACBBCCBBACACABACBBABAAABAAAB, C , 30, 67, 3 , 66.50
cs-250 , 19588 , EDPJVJTMF    , CNBHSBJG     , ABCAAABCBABABBBABAABCAABBCAACACACBAABABCAACABACBCCBAABBCCCCAABABCBAACAACCAACABAAAACBCCBABBAAAACBBCBA, B , 37, 63, 0 , 75.50
cs-250 , 11797 , GYPSYMFN     , XSRXXQ       , ABCABAAACABCACA CBAACABBAACBAACBCACCABCCACCBCBCABACBACACACAAAABABABCCAABABCCACBCCBACCACCCBCBCABACABB, C , 34, 65, 1 , 71.50
cs-250 , 17962 , GQBYOS       , IMVVSNQJMP   , CBCCABCBBBCACCACCBCCBABABBABCBABACAA AAAAAACCBBCCBCBAAACCAAABCCCB BCBCCCACBACACACC AABBBBCABBABCAAAB, D , 27, 70, 3 , 62.00
cs-250 , 16800 , CLBLIWM      , ZYQRTQJC     , CAABAAAAAACBB BAACAAAABABABCBCCBBAAACCBBAABCAACBBCAACCBAABBBBACAABCAAACAAACCABABBCCCABAABBABBCBCCBBC, C , 36, 63, 1 , 74.50
cs-250 , 10298 , VDCPKX       , TKGBYTJZGCD  , CACABAAACBCB BACBCCCBABBACCBCCACBCCBBABCACAAABACBBACBACACBCACBBABCAACCAACCABBCCCACBAAB BAAABAAAACCBB, D , 23, 75, 2 , 55.50
cs-250 , 12426 , VJQZBYTJ     , RWDQSTBI     , ACBABBBBCACBBBBCCBCBCBBABACBCABABABBABACCACBCBBCBCBBCCCBABAACCBABCCBAACBACBCCBAACBABCAAAACBCCAABCACA, B , 42, 58, 0 , 83.00
cs-250 , 17043 , XXRAHYZSCUA  , CKWPOJH      , BCCCBCBACBACBCBBBACCBCBCBBACACBABACAC CCBBCCCAACABBACBBACACCCACCBAABABABBAABBABBAAAAACBCABCCCBBBCBCA, D , 27, 72, 1 , 61.00
cs-250 , 13371 , QVWHRNM      , EDNCBBGEL    , CACBAACCABAAACBCCAACBABCBAAABAAAACCCBABACABAAACCCBBBABBABCAABCACABCABBBBCABCCABACABAACABBBACAA CBCAB, C , 31, 68, 1 , 67.00
cs-250 , 11309 , TATLVSUJJMZ  , IUBULCBJLE   ,  CBAACABCBABCCAACBABAABCABAACACBCCBCCCABCCCCBABCCABBCBBBAACBBAAACB AABCBBACBAACBCBCABCAAABBABACBBABB, B , 36, 62, 2 , 75.00
cs-250 , 12886 , LSVTUHX      , LPPHAAQM     , CBAAAABBBA ACAAABBCBAABBBACCCBCCCACBCBBACABACAACBACCCBCBAACBCACAAAA BABBCAAACACBBBCBACCABACCBABACACA, B , 39, 59, 2 , 79.50
cs-250 , 13905 , ELQGNC       , XOXBRERKKYAIE, CCABABACBBCCACAABCBAAAACBCCCCCCBCBABAACCBCCBACCCABACBCCBABBCCBCCBBCBCACBAABCCCBCBAAACBCBBABCCCBABBAB, C , 30, 70, 0 , 65.00
cs-250 , 11448 , GUISICWMBBQB , GWPVKFN      , ACBABBBCAACBACBABCBCACCCBCCBABBCCBCCCBBABAB A CCCBACCACABBBCBCBBBAAABCACCBACAABBACAACBBCAAACCBBCCBBA, C , 33, 65, 2 , 70.50
